poi_id,poi_name,date,category,visitor_count,day_type
1,Selfridges,2024-06-01,Young M,79,Weekend
1,Selfridges,2024-06-01,Young F,561,Weekend
1,Selfridges,2024-06-01,Couples,1288,Weekend
1,Selfridges,2024-06-01,Family with C,1089,Weekend
1,Selfridges,2024-06-01,Retiree,57,Weekend
1,Selfridges,2024-06-01,Affluent Achievers,29,Weekend
1,Selfridges,2024-06-01,Suburban Comfort,146,Weekend
1,Selfridges,2024-06-01,Urban Professionals,284,Weekend
1,Selfridges,2024-06-01,Peri-Urban Residents,2615,Weekend
1,Selfridges,2024-06-02,Young M,175,Weekend
1,Selfridges,2024-06-02,Young F,144,Weekend
1,Selfridges,2024-06-02,Couples,125,Weekend
1,Selfridges,2024-06-02,Family with C,16,Weekend
1,Selfridges,2024-06-02,Retiree,904,Weekend
1,Selfridges,2024-06-02,Affluent Achievers,78,Weekend
1,Selfridges,2024-06-02,Suburban Comfort,186,Weekend
1,Selfridges,2024-06-02,Urban Professionals,110,Weekend
1,Selfridges,2024-06-02,Peri-Urban Residents,990,Weekend
1,Selfridges,2024-06-03,Young M,86,Weekday
1,Selfridges,2024-06-03,Young F,359,Weekday
1,Selfridges,2024-06-03,Couples,170,Weekday
1,Selfridges,2024-06-03,Family with C,65,Weekday
1,Selfridges,2024-06-03,Retiree,739,Weekday
1,Selfridges,2024-06-03,Affluent Achievers,1275,Weekday
1,Selfridges,2024-06-03,Suburban Comfort,8,Weekday
1,Selfridges,2024-06-03,Urban Professionals,46,Weekday
1,Selfridges,2024-06-03,Peri-Urban Residents,90,Weekday
1,Selfridges,2024-06-04,Young M,317,Weekday
1,Selfridges,2024-06-04,Young F,334,Weekday
1,Selfridges,2024-06-04,Couples,47,Weekday
1,Selfridges,2024-06-04,Family with C,626,Weekday
1,Selfridges,2024-06-04,Retiree,439,Weekday
1,Selfridges,2024-06-04,Affluent Achievers,975,Weekday
1,Selfridges,2024-06-04,Suburban Comfort,244,Weekday
1,Selfridges,2024-06-04,Urban Professionals,59,Weekday
1,Selfridges,2024-06-04,Peri-Urban Residents,487,Weekday
1,Selfridges,2024-06-05,Young M,203,Weekday
1,Selfridges,2024-06-05,Young F,897,Weekday
1,Selfridges,2024-06-05,Couples,48,Weekday
1,Selfridges,2024-06-05,Family with C,1004,Weekday
1,Selfridges,2024-06-05,Retiree,53,Weekday
1,Selfridges,2024-06-05,Affluent Achievers,324,Weekday
1,Selfridges,2024-06-05,Suburban Comfort,908,Weekday
1,Selfridges,2024-06-05,Urban Professionals,394,Weekday
1,Selfridges,2024-06-05,Peri-Urban Residents,580,Weekday
1,Selfridges,2024-06-06,Young M,1162,Weekday
1,Selfridges,2024-06-06,Young F,493,Weekday
1,Selfridges,2024-06-06,Couples,189,Weekday
1,Selfridges,2024-06-06,Family with C,129,Weekday
1,Selfridges,2024-06-06,Retiree,81,Weekday
1,Selfridges,2024-06-06,Affluent Achievers,109,Weekday
1,Selfridges,2024-06-06,Suburban Comfort,987,Weekday
1,Selfridges,2024-06-06,Urban Professionals,38,Weekday
1,Selfridges,2024-06-06,Peri-Urban Residents,921,Weekday
1,Selfridges,2024-06-07,Young M,277,Weekday
1,Selfridges,2024-06-07,Young F,691,Weekday
1,Selfridges,2024-06-07,Couples,565,Weekday
1,Selfridges,2024-06-07,Family with C,24,Weekday
1,Selfridges,2024-06-07,Retiree,234,Weekday
1,Selfridges,2024-06-07,Affluent Achievers,171,Weekday
1,Selfridges,2024-06-07,Suburban Comfort,358,Weekday
1,Selfridges,2024-06-07,Urban Professionals,141,Weekday
1,Selfridges,2024-06-07,Peri-Urban Residents,1123,Weekday
1,Selfridges,2024-06-08,Young M,45,Weekend
1,Selfridges,2024-06-08,Young F,22,Weekend
1,Selfridges,2024-06-08,Couples,1258,Weekend
1,Selfridges,2024-06-08,Family with C,1161,Weekend
1,Selfridges,2024-06-08,Retiree,556,Weekend
1,Selfridges,2024-06-08,Affluent Achievers,167,Weekend
1,Selfridges,2024-06-08,Suburban Comfort,929,Weekend
1,Selfridges,2024-06-08,Urban Professionals,1147,Weekend
1,Selfridges,2024-06-08,Peri-Urban Residents,798,Weekend
1,Selfridges,2024-06-09,Young M,149,Weekend
1,Selfridges,2024-06-09,Young F,1662,Weekend
1,Selfridges,2024-06-09,Couples,799,Weekend
1,Selfridges,2024-06-09,Family with C,586,Weekend
1,Selfridges,2024-06-09,Retiree,109,Weekend
1,Selfridges,2024-06-09,Affluent Achievers,514,Weekend
1,Selfridges,2024-06-09,Suburban Comfort,2506,Weekend
1,Selfridges,2024-06-09,Urban Professionals,103,Weekend
1,Selfridges,2024-06-09,Peri-Urban Residents,183,Weekend
1,Selfridges,2024-06-10,Young M,243,Weekday
1,Selfridges,2024-06-10,Young F,175,Weekday
1,Selfridges,2024-06-10,Couples,109,Weekday
1,Selfridges,2024-06-10,Family with C,156,Weekday
1,Selfridges,2024-06-10,Retiree,34,Weekday
1,Selfridges,2024-06-10,Affluent Achievers,160,Weekday
1,Selfridges,2024-06-10,Suburban Comfort,97,Weekday
1,Selfridges,2024-06-10,Urban Professionals,134,Weekday
1,Selfridges,2024-06-10,Peri-Urban Residents,326,Weekday
1,Selfridges,2024-06-11,Young M,743,Weekday
1,Selfridges,2024-06-11,Young F,319,Weekday
1,Selfridges,2024-06-11,Couples,271,Weekday
1,Selfridges,2024-06-11,Family with C,579,Weekday
1,Selfridges,2024-06-11,Retiree,484,Weekday
1,Selfridges,2024-06-11,Affluent Achievers,239,Weekday
1,Selfridges,2024-06-11,Suburban Comfort,368,Weekday
1,Selfridges,2024-06-11,Urban Professionals,1048,Weekday
1,Selfridges,2024-06-11,Peri-Urban Residents,741,Weekday
1,Selfridges,2024-06-12,Young M,111,Weekday
1,Selfridges,2024-06-12,Young F,79,Weekday
1,Selfridges,2024-06-12,Couples,306,Weekday
1,Selfridges,2024-06-12,Family with C,294,Weekday
1,Selfridges,2024-06-12,Retiree,339,Weekday
1,Selfridges,2024-06-12,Affluent Achievers,230,Weekday
1,Selfridges,2024-06-12,Suburban Comfort,364,Weekday
1,Selfridges,2024-06-12,Urban Professionals,27,Weekday
1,Selfridges,2024-06-12,Peri-Urban Residents,509,Weekday
1,Selfridges,2024-06-13,Young M,397,Weekday
1,Selfridges,2024-06-13,Young F,408,Weekday
1,Selfridges,2024-06-13,Couples,183,Weekday
1,Selfridges,2024-06-13,Family with C,776,Weekday
1,Selfridges,2024-06-13,Retiree,735,Weekday
1,Selfridges,2024-06-13,Affluent Achievers,211,Weekday
1,Selfridges,2024-06-13,Suburban Comfort,1280,Weekday
1,Selfridges,2024-06-13,Urban Professionals,955,Weekday
1,Selfridges,2024-06-13,Peri-Urban Residents,54,Weekday
1,Selfridges,2024-06-14,Young M,457,Weekday
1,Selfridges,2024-06-14,Young F,6,Weekday
1,Selfridges,2024-06-14,Couples,724,Weekday
1,Selfridges,2024-06-14,Family with C,253,Weekday
1,Selfridges,2024-06-14,Retiree,632,Weekday
1,Selfridges,2024-06-14,Affluent Achievers,1091,Weekday
1,Selfridges,2024-06-14,Suburban Comfort,17,Weekday
1,Selfridges,2024-06-14,Urban Professionals,108,Weekday
1,Selfridges,2024-06-14,Peri-Urban Residents,857,Weekday
1,Selfridges,2024-06-15,Young M,327,Weekend
1,Selfridges,2024-06-15,Young F,21,Weekend
1,Selfridges,2024-06-15,Couples,61,Weekend
1,Selfridges,2024-06-15,Family with C,796,Weekend
1,Selfridges,2024-06-15,Retiree,318,Weekend
1,Selfridges,2024-06-15,Affluent Achievers,815,Weekend
1,Selfridges,2024-06-15,Suburban Comfort,223,Weekend
1,Selfridges,2024-06-15,Urban Professionals,2,Weekend
